Time,Velocity,km_Remaining,Lat,Long,Altd_m,SOC,SOC_Wh,Array_Power_W,Irradiance_W,Power_Usage_W
20-Sep-2015 08:47:00,85,392.307738957653,-27.39595,151.44412,363.986155990796,84.4289803483975,3958.5709442071,722.912347008138,511.738771281163,1454.82588959619
20-Sep-2015 08:48:00,85,390.891072290987,-27.39525,151.43197,361.400076389501,84.1463731725099,3945.32051111557,726.59228788261,514.648826428576,1454.82588959619
20-Sep-2015 08:49:00,85,389.47440562432,-27.39418,151.41639,362.162729947404,83.8650131451524,3932.12855232888,730.209255192729,517.509790296289,1454.82588959619
20-Sep-2015 08:50:00,85,388.057738957653,-27.39355,151.40089,359.89662699706,83.5848948487023,3918.9948138342,733.810510368659,520.359015886637,1454.82588959619
20-Sep-2015 08:51:00,85,386.641072290987,-27.39333,151.3866,357.249058046597,83.3060188369245,3905.91932159558,737.413371568242,523.210193961854,1454.82588959619
20-Sep-2015 08:52:00,85,385.22440562432,-27.3931155632905,151.37245684358,356.908476662793,83.0283811863127,3892.90189165393,741.004853855172,526.053039177748,1454.82588959619
20-Sep-2015 08:53:00,85,383.807738957653,-27.39292,151.35907,355.07122131672,82.7519810699736,3879.94248523921,744.593937995116,528.894649784171,1454.82588959619
20-Sep-2015 08:54:00,85,382.391072290987,-27.39272,151.34481,353.748550610832,82.4768091940904,3867.0406665978,748.156068302828,531.715569579979,1454.82588959619
20-Sep-2015 08:55:00,85,380.97440562432,-27.39232,151.33122,351.865816349902,82.202864856346,3854.19640280058,751.716161757835,534.535516583979,1454.82588959619
20-Sep-2015 08:56:00,85,379.557738957653,-27.39156,151.31593,349.631339808206,81.9301355667132,3841.40910823514,755.240031764883,537.327395257525,1454.82588959619
20-Sep-2015 08:57:00,85,378.141072290987,-27.3905,151.30094,347.388185147043,81.6586190007829,3828.67867391831,758.757160544655,540.114546350348,1454.82588959619
20-Sep-2015 08:58:00,85,376.72440562432,-27.38865,151.28723,346.914763565508,81.3883192978949,3816.00529392882,762.286294195039,542.911820746082,1454.82588959619
20-Sep-2015 08:59:00,85,375.307738957653,-27.38629,151.27284,346.630288312378,81.1192296857395,3803.38865073746,765.795786862489,545.694127491195,1454.82588959619
20-Sep-2015 09:00:00,85,373.891072290987,-27.387819987827,151.28116129486,346.50123028971,80.8514484298952,3790.83335166344,769.590268347565,548.703038784054,1454.82588959619
20-Sep-2015 09:01:00,85,372.47440562432,-27.38982,151.29596,347.388185147043,80.5850007499582,3778.34057916284,773.457891445777,551.770655281649,1454.82588959619
20-Sep-2015 09:02:00,85,371.057738957653,-27.39123,151.30955,348.663172602916,80.3198760602326,3765.90983691049,777.294814017787,554.814618756384,1454.82588959619
20-Sep-2015 09:03:00,85,369.641072290987,-27.3919505967361,151.323710248246,350.211729653765,80.0560730393717,3753.5410629532,781.127904434073,557.856228376651,1454.82588959619
20-Sep-2015 09:04:00,85,368.22440562432,-27.39263,151.33849,352.566330859854,79.7935885300352,3741.23410925464,784.951837963977,560.891248522637,1454.82588959619
20-Sep-2015 09:05:00,85,366.807738957653,-27.39285,151.35371,354.360752493261,79.5324197178768,3728.98884386026,788.767609355953,563.920457377106,1454.82588959619
20-Sep-2015 09:06:00,85,365.391072290987,-27.39304,151.36733,356.201001094445,79.2725523390853,3716.80459799129,792.542012989762,566.917474708832,1454.82588959619
20-Sep-2015 09:07:00,85,363.97440562432,-27.3932534473791,151.381346690316,357.326766661829,79.013981817309,3704.68115707908,796.30314433583,569.904589010466,1454.82588959619
20-Sep-2015 09:08:00,85,362.557738957653,-27.39348,151.39677,359.100026677711,78.7567084602477,3692.61853555056,800.065168069083,572.893040634641,1454.82588959619
20-Sep-2015 09:09:00,85,361.141072290987,-27.3937339839482,151.409953154489,359.401602930969,78.5007147081416,3680.61591009181,803.776265168742,575.841647500981,1454.82588959619
20-Sep-2015 09:10:00,85,359.72440562432,-27.3946884432855,151.423900521284,361.952413169722,78.2459954607145,3668.67304156925,807.472570499286,578.779098223927,1454.82588959619
20-Sep-2015 09:11:00,85,358.307738957653,-27.39574,151.43952,364.372680360017,77.9925517903046,3656.78998026094,811.17198581431,581.719610843449,1454.82588959619
20-Sep-2015 09:12:00,85,356.891072290987,-27.3964,151.454,366.446936540957,77.7403727635511,3644.96621354096,814.839692309062,584.635497024216,1454.82588959619
20-Sep-2015 09:13:00,85,355.47440562432,-27.39705,151.4685,368.403133171496,77.4894517764129,3633.20143176961,818.488245831985,587.536721577357,1454.82588959619
20-Sep-2015 09:14:00,85,354.057738957653,-27.3976013533748,151.480918854452,368.801630561158,77.2397725556889,3621.49487195505,822.089603984582,590.400965570709,1454.82588959619
20-Sep-2015 09:15:00,85,352.641072290987,-27.39834,151.49722,371.974434571152,76.991346018743,3609.84704597319,825.722624563618,593.2909378624,1454.82588959619
20-Sep-2015 09:16:00,85,351.22440562432,-27.39893,151.51016,372.097436473015,76.7441500201471,3598.25691550462,829.291419200326,596.130349637098,1454.82588959619
20-Sep-2015 09:17:00,85,349.807738957653,-27.3995178457385,151.523217913018,377.221448355031,76.4981783155765,3586.72418777544,832.842104110907,598.9558690691,1454.82588959619
20-Sep-2015 09:18:00,85,348.391072290987,-27.3995654669726,151.538463944411,377.39431463854,76.2534359523554,3575.24909943652,836.407427219254,601.793550538646,1454.82588959619
20-Sep-2015 09:19:00,85,346.97440562432,-27.39835,151.55395,378.9072310704,76.0099212440843,3563.83157141864,839.967859449045,604.627848203532,1454.82588959619
20-Sep-2015 09:20:00,85,345.557738957653,-27.3982599670215,151.555084414892,379.05160342154,75.7675579336141,3552.46802829861,843.3071314809,607.286548488547,1454.82588959619
20-Sep-2015 09:21:00,85,344.141072290987,-27.3993,151.5419,377.841887489896,75.5262709086412,3541.15494833092,846.428563584464,609.772204181221,1454.82588959619
20-Sep-2015 09:22:00,85,342.72440562432,-27.3997,151.52726,374.745817546958,75.2860500700547,3529.89185800461,849.520706350804,612.234912176773,1454.82588959619
20-Sep-2015 09:23:00,85,341.307738957653,-27.39909,151.51344,374.070037997841,75.0468968891576,3518.6788263038,852.617116174557,614.701390742218,1454.82588959619
20-Sep-2015 09:24:00,85,339.891072290987,-27.3983614352523,151.497659423376,371.933619565422,74.8087973502354,3507.51519608208,855.672877768185,617.135852845092,1454.82588959619
