Time,Velocity,km_Remaining,Lat,Long,Altd_m,SOC,SOC_Wh,Array_Power_W,Irradiance_W,Power_Usage_W
26-Jul-2015 00:00:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:01:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:02:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:03:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:04:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:05:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:06:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:07:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:08:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:09:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:10:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:11:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:12:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:13:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:14:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:15:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:16:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:17:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:18:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:19:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:20:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:21:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:22:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
26-Jul-2015 00:23:00,0,3002.33336059545,-12.46284,130.84179,10.555,100,4864,0,-0,0
