Time,Velocity,km_Remaining,Lat,Long,Altd_m,SOC,SOC_Wh,Array_Power_W,Irradiance_W,Power_Usage_W
19/09/2015 0:55,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 0:56,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 0:57,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 0:58,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 0:59,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:00,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:01,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:02,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:03,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:04,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:05,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:06,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:07,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:08,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:09,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:10,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:11,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:12,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:13,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:14,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:15,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:16,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:17,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
