Latitude,Longitude,Altitude (m)
-13.623050000,131.599470000,232.1
-13.622940000,131.601610000,235.4
-13.622990000,131.603470000,230.6
-13.623090000,131.604590000,225.7
-13.624740000,131.615650000,221.4
-13.625140000,131.617690000,227.4
-13.625810000,131.620200000,231.9
-13.626170000,131.621340000,232.2
-13.627140000,131.623880000,228.5
-13.627970000,131.625720000,234.5
-13.629540000,131.628570000,229.9
-13.636330000,131.638980000,220.2
-13.637940000,131.641520000,214.7
-13.638770000,131.643080000,213.1
-13.639450000,131.644640000,209.0
-13.639810000,131.645620000,208.5
-13.642280000,131.653290000,209.8
-13.643030000,131.655080000,210.9
-13.643980000,131.656840000,207.9
-13.644870000,131.658270000,201.9
-13.649810000,131.664850000,207.1
-13.651060000,131.666580000,201.0
-13.652050000,131.668150000,201.8
-13.652590000,131.669170000,201.4
-13.653500000,131.671270000,199.6
-13.654420000,131.673690000,196.9
-13.654950000,131.674680000,196.7
-13.655610000,131.675590000,197.7
-13.657770000,131.677870000,193.3
-13.661320000,131.681460000,195.8
-13.667560000,131.687180000,201.6
-13.668640000,131.688050000,204.2
-13.669670000,131.688790000,206.9
-13.671000000,131.689590000,209.7
-13.673020000,131.690580000,209.7
-13.674680000,131.691200000,207.5
-13.676630000,131.691720000,204.0
-13.678100000,131.691990000,202.5
-13.699460000,131.694470000,192.0
-13.701690000,131.694880000,192.9
-13.704390000,131.695620000,196.6
-13.706050000,131.696210000,197.6
-13.707800000,131.696950000,200.7
-13.710390000,131.698280000,200.6
-13.711330000,131.698850000,200.3
-13.713020000,131.699970000,201.0
-13.714700000,131.701270000,197.5
-13.716440000,131.702830000,193.8
-13.717850000,131.704260000,193.6
-13.722500000,131.709680000,198.8
-13.744490000,131.735610000,205.0
-13.745460000,131.736690000,206.0
-13.748880000,131.740820000,207.1
-13.750270000,131.742780000,197.6
-13.750960000,131.743870000,197.3
-13.752050000,131.745960000,197.4
-13.753110000,131.748500000,190.1
-13.753570000,131.749870000,189.3
-13.755780000,131.758230000,198.1
-13.756490000,131.760750000,193.2
-13.757370000,131.763300000,187.7
-13.758290000,131.765500000,191.2
-13.759400000,131.767760000,186.2
-13.760960000,131.770470000,188.0
-13.762810000,131.773180000,184.8
-13.763810000,131.774460000,188.8
-13.765220000,131.776130000,195.7
-13.766250000,131.777250000,198.5
-13.767270000,131.778270000,198.1
-13.769040000,131.779900000,201.4
-13.770990000,131.781460000,202.3
-13.780230000,131.788090000,204.8
-13.782100000,131.789670000,199.8
-13.784360000,131.791980000,202.1
-13.788880000,131.796770000,215.1
-13.802300000,131.810290000,222.4
-13.806690000,131.814620000,234.9
-13.810860000,131.818840000,216.9
-13.811870000,131.820010000,222.9
-13.812610000,131.821140000,220.7
-13.812980000,131.821900000,217.1
-13.813410000,131.823100000,214.5
-13.813650000,131.824130000,212.7
-13.813780000,131.825300000,210.5
-13.814350000,131.832840000,199.2
-13.814460000,131.833630000,199.8
-13.814640000,131.834430000,198.9
-13.815030000,131.835580000,198.7
-13.815550000,131.836640000,199.0
-13.816250000,131.837710000,197.8
-13.817220000,131.838780000,199.0
-13.818120000,131.839530000,201.6
-13.819020000,131.840110000,200.7
-13.819830000,131.840520000,203.0
-13.820880000,131.840900000,203.9
-13.821770000,131.841100000,202.6
-13.822490000,131.841200000,202.9
-13.826760000,131.841450000,199.0
-13.827500000,131.841550000,199.0
-13.828140000,131.841690000,197.5
-13.829030000,131.841950000,196.7
-13.836340000,131.844980000,192.0
-13.837660000,131.845300000,191.1
-13.839030000,131.845410000,192.4
-13.840390000,131.845290000,195.3
-13.841400000,131.845070000,196.1
-13.842240000,131.844780000,195.2
-13.843560000,131.844140000,191.5
-13.844600000,131.843390000,191.4
-13.845110000,131.842950000,191.9
-13.846810000,131.841130000,189.8
-13.847430000,131.840530000,189.9
-13.848620000,131.839680000,190.2
-13.849670000,131.839130000,191.6
-13.850720000,131.838750000,193.4
-13.851970000,131.838480000,195.5
-13.853200000,131.838390000,193.4
-13.854240000,131.838450000,191.6
-13.855190000,131.838610000,193.3
-13.860400000,131.840010000,185.0
-13.863100000,131.840660000,184.2
-13.887800000,131.845720000,185.0
-13.889770000,131.846180000,184.3
-13.891290000,131.846630000,185.1
-13.893570000,131.847440000,185.3
-13.896600000,131.848780000,186.0
-13.898090000,131.849560000,185.5
-13.899890000,131.850620000,182.8
-13.900810000,131.851200000,182.0
-13.902440000,131.852360000,178.8
-13.903940000,131.853550000,175.2
-13.904970000,131.854440000,172.7
-13.906690000,131.856050000,170.2
-13.936060000,131.887630000,151.7
-13.937100000,131.888680000,152.4
-13.938660000,131.889980000,156.0
-13.939480000,131.890560000,158.1
-13.940570000,131.891220000,156.2
-13.952080000,131.897100000,156.6
-13.954430000,131.898580000,152.9
-13.956800000,131.900380000,153.5
-13.974530000,131.914250000,156.7
-13.977090000,131.916190000,154.7
-13.979670000,131.918000000,160.0
-13.981390000,131.919130000,162.1
-13.983670000,131.920550000,163.1
-13.985650000,131.921700000,159.4
-13.989530000,131.923770000,159.0
-13.993010000,131.925430000,159.1
-14.027960000,131.940260000,130.4
-14.029200000,131.940820000,130.0
-14.030310000,131.941520000,131.0
-14.030780000,131.941900000,130.4
-14.031430000,131.942550000,128.8
-14.032120000,131.943400000,127.0
-14.034850000,131.947360000,137.1
-14.035620000,131.948320000,137.7
-14.036360000,131.949030000,138.3
-14.036800000,131.949370000,139.2
-14.039190000,131.950780000,136.9
-14.040440000,131.951700000,135.5
-14.041050000,131.952260000,134.1
-14.041820000,131.953110000,132.1
-14.046770000,131.959430000,149.1
-14.047190000,131.959920000,150.5
-14.047830000,131.960530000,150.0
-14.048870000,131.961380000,150.0
-14.050070000,131.962130000,152.4
-14.055710000,131.964860000,147.1
-14.056950000,131.965530000,145.4
-14.058330000,131.966380000,144.0
-14.059840000,131.967460000,141.9
-14.060930000,131.968320000,141.0
-14.061830000,131.969120000,137.7
-14.066020000,131.973220000,152.1
-14.066960000,131.974060000,141.0
-14.071940000,131.977910000,122.9
-14.073340000,131.979130000,133.0
-14.074460000,131.980350000,139.5
-14.076520000,131.983200000,120.3
-14.077320000,131.984200000,119.3
-14.077870000,131.984780000,121.3
-14.078750000,131.985640000,124.4
-14.079440000,131.986210000,126.2
-14.080540000,131.987030000,125.6
-14.081500000,131.987630000,127.4
-14.083140000,131.988460000,136.1
-14.085210000,131.989200000,138.3
-14.087120000,131.989610000,135.8
-14.088390000,131.989750000,133.8
-14.089290000,131.989800000,133.3
-14.090430000,131.989770000,134.4
-14.091600000,131.989670000,135.4
-14.103060000,131.987950000,137.8
-14.104380000,131.987810000,138.1
-14.106590000,131.987760000,139.8
-14.107510000,131.987800000,137.0
-14.109920000,131.988120000,141.9
-14.111360000,131.988440000,141.5
-14.112580000,131.988800000,145.4
-14.113370000,131.989070000,148.9
-14.114930000,131.989710000,152.5
-14.116120000,131.990300000,153.5
-14.120490000,131.992780000,155.6
-14.121810000,131.993420000,154.9
-14.123200000,131.993980000,155.5
-14.124660000,131.994440000,153.0
-14.135440000,131.997380000,142.6
-14.136640000,131.997800000,147.2
-14.137930000,131.998330000,145.0
-14.139150000,131.998930000,142.3
-14.140320000,131.999620000,141.5
-14.169500000,132.017980000,120.2
-14.169640000,132.018160000,120.2
-14.170340000,132.018570000,121.4
-14.171290000,132.019220000,122.5
-14.172660000,132.020280000,121.1
-14.173460000,132.021020000,120.9
-14.174480000,132.022070000,120.5
-14.175630000,132.023440000,116.1
